,country_name,country_id,year,v2cldiscm,v2cldiscw,v2clacfree,v2clrelig,v2clfmove,v2cldmovem,v2cldmovew,score,pan_dem
679,Serbia,198,2021,1.165,0.894,0.809,1.662,1.135,1.091,1.269,8.025,0.2866071428571429
680,Seychelles,199,2018,0.386,0.418,0.776,0.893,0.803,1.955,2.176,7.407,0.26453571428571426
681,Seychelles,199,2019,0.834,0.714,0.776,0.893,0.803,1.955,2.176,8.151,0.29110714285714284
682,Seychelles,199,2020,0.834,0.714,1.753,1.287,0.575,1.955,2.176,9.294,0.33192857142857146
683,Seychelles,199,2021,0.834,0.714,1.753,1.287,0.575,1.955,2.176,9.294,0.33192857142857146
684,Singapore,200,2018,-0.127,0.255,-0.128,1.147,0.864,1.717,1.437,5.165,0.18446428571428572
685,Singapore,200,2019,-0.209,0.03,-0.128,0.886,1.631,1.165,1.437,4.812,0.17185714285714287
686,Singapore,200,2020,-0.147,0.242,-0.128,0.886,1.589,1.724,1.93,6.096,0.21771428571428572
687,Singapore,200,2021,-0.147,0.242,-0.128,0.886,1.376,1.048,1.359,4.636,0.16557142857142856
688,Slovakia,201,2018,1.546,1.538,1.34,0.875,2.449,1.961,2.186,11.895,0.42482142857142857
689,Slovakia,201,2019,2.365,2.35,2.136,0.875,2.449,1.961,2.186,14.322000000000001,0.5115000000000001
690,Slovakia,201,2020,2.365,2.35,2.132,1.023,1.153,0.956,1.279,11.258,0.4020714285714285
691,Slovakia,201,2021,2.365,2.35,2.886,1.023,1.153,0.956,1.279,12.012,0.429
692,Slovenia,202,2018,2.491,2.233,2.498,1.123,2.516,1.615,1.243,13.719000000000001,0.48996428571428574
693,Slovenia,202,2019,2.491,2.233,2.498,1.123,2.516,1.615,1.243,13.719000000000001,0.48996428571428574
694,Slovenia,202,2020,1.487,1.481,1.475,1.68,1.161,0.711,0.841,8.835999999999999,0.3155714285714285
695,Slovenia,202,2021,0.892,0.869,1.158,1.68,1.161,1.358,1.488,8.606,0.30735714285714283
696,Solomon Islands,203,2018,1.969,0.866,1.917,1.124,1.649,1.326,-0.053,8.797999999999998,0.31421428571428567
697,Solomon Islands,203,2019,1.969,0.866,1.917,1.124,1.649,1.326,-0.053,8.797999999999998,0.31421428571428567
698,Solomon Islands,203,2020,1.591,1.007,1.917,1.802,1.061,1.111,-0.053,8.436,0.30128571428571427
699,Solomon Islands,203,2021,1.591,1.149,1.917,1.802,0.91,1.275,-0.05,8.594,0.3069285714285714
700,Vanuatu,206,2018,1.702,2.094,2.19,1.889,1.374,1.16,0.727,11.136000000000001,0.39771428571428574
701,Vanuatu,206,2019,1.702,2.094,2.19,1.889,1.374,1.16,0.727,11.136000000000001,0.39771428571428574
702,Vanuatu,206,2020,1.389,1.37,2.19,1.889,1.374,1.16,0.727,10.099,0.36067857142857146
703,Vanuatu,206,2021,2.628,2.64,2.638,1.889,1.374,1.16,0.727,13.056000000000001,0.4662857142857143
704,United Arab Emirates,207,2018,-0.217,-0.605,-0.992,0.67,0.188,-0.314,-0.885,-2.1550000000000002,-0.07696428571428572
705,United Arab Emirates,207,2019,-0.217,-0.605,-0.643,0.67,0.188,-0.314,-1.293,-2.2139999999999995,-0.07907142857142856
706,United Arab Emirates,207,2020,-0.217,-0.605,-0.643,0.67,0.188,-0.723,-1.08,-2.4099999999999997,-0.08607142857142856
707,United Arab Emirates,207,2021,-0.597,-0.885,-1.011,0.67,0.188,-0.446,-0.909,-2.99,-0.10678571428571429
708,Hungary,210,2018,1.406,1.221,0.434,1.516,2.648,2.033,2.342,11.6,0.41428571428571426
709,Hungary,210,2019,1.115,1.031,0.241,1.516,2.648,2.033,2.342,10.926,0.39021428571428574
710,Hungary,210,2020,1.115,1.031,0.027,1.442,1.063,2.033,2.342,9.053,0.3233214285714286
711,Hungary,210,2021,1.643,1.523,-0.047,1.442,1.563,2.033,2.342,10.499,0.37496428571428575
712,Zanzibar,236,2018,-0.417,-0.664,-0.293,1.117,0.008,1.14,0.9,1.791,0.06396428571428571
713,Zanzibar,236,2019,-0.417,-0.664,-0.615,0.961,0.008,1.14,0.9,1.313,0.04689285714285714
714,Zanzibar,236,2020,-0.336,-0.57,-0.624,1.051,-0.11,1.487,1.029,1.927,0.06882142857142858
715,Zanzibar,236,2021,0.351,-0.168,0.03,1.051,-0.035,1.487,1.029,3.745,0.13375
